path,research_state_label,justification,inbound_imports,outbound_side_effects
claimweb/reconstruct/validate.py,STUB-WAITING-IMPLEMENTATION,15-LOC stub; reconstruction self-validate,none yet,none
claimweb/reconstruct/__init__.py,STUB-WAITING-IMPLEMENTATION,14-LOC subpackage init,none yet,none
claimweb/cascade/eisenberg_noe.py,PARKED-AWAITING-DEPENDENCY,25-LOC stub; Phase 2 deliverable; awaits Phase 1 reconstruction completion,none yet,none
claimweb/cascade/fire_sale.py,PARKED-AWAITING-DEPENDENCY,23-LOC stub; Phase 2,none yet,none
claimweb/cascade/multi_constraint.py,PARKED-AWAITING-DEPENDENCY,17-LOC stub; Phase 2,none yet,none
claimweb/cascade/contingent.py,PARKED-AWAITING-DEPENDENCY,16-LOC stub; Phase 2,none yet,none
claimweb/cascade/debtrank.py,PARKED-AWAITING-DEPENDENCY,16-LOC stub; Phase 2,none yet,none
claimweb/cascade/__init__.py,PARKED-AWAITING-DEPENDENCY,18-LOC subpackage init,none yet,none
claimweb/abm/simulator.py,PARKED-AWAITING-DEPENDENCY,19-LOC stub; Phase 3 (parallel ABM per project plan Part XII),none yet,none
claimweb/abm/calibration.py,PARKED-AWAITING-DEPENDENCY,16-LOC stub; Phase 3,none yet,none
claimweb/abm/scenarios.py,PARKED-AWAITING-DEPENDENCY,16-LOC stub; Phase 3,none yet,none
claimweb/abm/__init__.py,PARKED-AWAITING-DEPENDENCY,19-LOC subpackage init,none yet,none
claimweb/abm/agents/__init__.py,PARKED-AWAITING-DEPENDENCY,1-LOC placeholder,none yet,none
claimweb/visualize/sankey.py,STUB-WAITING-IMPLEMENTATION,17-LOC stub; PHASE_GATES.md L32 Phase 1 deliverable,none yet,none
claimweb/visualize/network_link.py,PARKED-AWAITING-DEPENDENCY,11-LOC stub; Phase 3,none yet,none
claimweb/visualize/cascade_dag.py,PARKED-AWAITING-DEPENDENCY,11-LOC stub; Phase 3 (depends on cascade),none yet,none
claimweb/visualize/multiplier_timeseries.py,PARKED-AWAITING-DEPENDENCY,11-LOC stub; Phase 3,none yet,none
claimweb/visualize/__init__.py,PARKED-AWAITING-DEPENDENCY,14-LOC,none yet,none
claimweb/validation/ep1_2007_xfabs.py,PARKED-AWAITING-DEPENDENCY,12-LOC stub; Phase 3 deliverable; awaits Phase 1+2 plus retrodiction-replayer agent invocation,none yet,none
claimweb/validation/ep2_2008_aig_seclending.py,PARKED-AWAITING-DEPENDENCY,13-LOC stub; Phase 3,none yet,none
claimweb/validation/ep3_2020_covid_stress.py,PARKED-AWAITING-DEPENDENCY,15-LOC stub; Phase 3,none yet,none
claimweb/validation/__init__.py,PARKED-AWAITING-DEPENDENCY,14-LOC,none yet,none
claimweb/multiplier/__init__.py,PARKED-AWAITING-DEPENDENCY,14-LOC; Phase 1-2 deliverable per project plan §14 claim-multiplier computation,none yet,none
claimweb/normalize/__init__.py,PARKED-AWAITING-DEPENDENCY,17-LOC; intended layer between fetchers and constraints per §10/§11; not yet populated; redundancy with fetchers' direct emission of ArcFacts suggests this may be SCOPED-OUT in practice,none yet,none
claimweb/api/__init__.py,PARKED-AWAITING-DEPENDENCY,12-LOC; Phase 3 web product backend (project plan §24),none yet,none
claimweb/fetchers/__init__.py,LIVE-LOAD-BEARING,Re-exports concrete fetchers; consumed by external callers and tests,(external),none
claimweb/constraints/__init__.py,LIVE-LOAD-BEARING,Re-exports law builders,(external),none
tests/conftest.py,HARNESS,Empty shared-fixtures file; reserved,(pytest implicit),none
tests/unit/test_*.py (16 files),DIAGNOSTIC-PERMANENT,Permanent regression suite for fetchers + constraints,(pytest collection),none
scripts/check_conservation.py,DIAGNOSTIC-PERMANENT,Operational guard invoked on PostToolUse and in precommit gate,scripts/post_edit_check.sh; scripts/precommit_gate.sh,filesystem reads
scripts/*.sh,HARNESS,Hook scripts wired by .claude/settings.json,(.claude/settings.json),various
.claude/agents/*.md,HARNESS,Subagent definitions,(spawned by Claude),none (definitions)
.claude/skills/*/SKILL.md,HARNESS,Auto-loaded workflow descriptions,(Claude auto-load),none
.claude/commands/*.md,HARNESS,Slash command definitions,(user/agent invocation),none
.claude/rules/*.md,HARNESS,Loadable per-topic rules,(Claude rule-match),none
.claude/settings.json,HARNESS,Hook registration,(Claude session start),wires hooks
pyproject.toml,LIVE-LOAD-BEARING,Project + dependency manifest,(build system; CI),none
uv.lock,LIVE-LOAD-BEARING,Pinned dependency lock,(uv),none
.gitignore,HARNESS,Gitignore rules,(git),none
.github/workflows/claimweb-gate.yml,HARNESS,GitHub Actions CI workflow,(GH Actions),CI execution
